Grouping,InstrumentCode,InstrumentDescription,TotalBuy,TotalSell,NetPos,BuyAverage,SellAverage,Exchange,MaturityDate,TradeType,StrikePrice
CG1W_Put_31/03/2025_COMX_2925,CG1W,GOLD WEEK 1 WED OPT,0,4,-4,0,13.15,COMX,31/03/2025,Put,2925
NCO_Call_30/04/2025_NYME_73,NCO,LIGHT CRUDE OIL,1,0,1,0.2,0,NYME,30/04/2025,Call,73
NCO_Call_30/04/2025_NYME_71,NCO,LIGHT CRUDE OIL,3,3,0,0.4366666666666666666666666667,0.5233333333333333333333333333,NYME,30/04/2025,Call,71
NCO_Call_30/04/2025_NYME_73.5,NCO,LIGHT CRUDE OIL,0,4,-4,0,0.165,NYME,30/04/2025,Call,73.5
NCO_Call_30/04/2025_NYME_69,NCO,LIGHT CRUDE OIL,6,6,0,1.0483333333333333333333333333,1.155,NYME,30/04/2025,Call,69
NCO_Call_30/04/2025_NYME_72.5,NCO,LIGHT CRUDE OIL,0,5,-5,0,0.21,NYME,30/04/2025,Call,72.5
NCO_Call_30/04/2025_NYME_70,NCO,LIGHT CRUDE OIL,3,1,2,0.63,0.79,NYME,30/04/2025,Call,70
NCO_Put_30/04/2025_NYME_68,NCO,LIGHT CRUDE OIL,5,5,0,1.84,1.684,NYME,30/04/2025,Put,68
NCO_Call_30/04/2025_NYME_67,NCO,LIGHT CRUDE OIL,5,5,0,1.914,1.932,NYME,30/04/2025,Call,67
NCO_Put_30/04/2025_NYME_66,NCO,LIGHT CRUDE OIL,8,0,8,0.9875,0,NYME,30/04/2025,Put,66
NCO_Future_30/04/2025_NYME_0,NCO,LIGHT CRUDE OIL,9,25,-16,67.523333333333333333333333333,67.7604,NYME,30/04/2025,Future,0
NC_Put_30/04/2025_NYME_3.5,NC,HENRY HUB NAT. GAS (NG),5,0,5,0.0226,0,NYME,30/04/2025,Put,3.5
NC_Put_30/04/2025_NYME_3.55,NC,HENRY HUB NAT. GAS (NG),1,0,1,0.016,0,NYME,30/04/2025,Put,3.55
NC_Put_30/04/2025_NYME_3.4,NC,HENRY HUB NAT. GAS (NG),0,3,-3,0,0.009,NYME,30/04/2025,Put,3.4
NC_Put_30/04/2025_NYME_3.6,NC,HENRY HUB NAT. GAS (NG),6,0,6,0.0231666666666666666666666667,0,NYME,30/04/2025,Put,3.6
NC_Put_30/04/2025_NYME_3.3,NC,HENRY HUB NAT. GAS (NG),0,3,-3,0,0.008,NYME,30/04/2025,Put,3.3
XGD_Future_30/04/2025_COMX_0,XGD,GOLD,55,57,-2,2927.7054545454545454545454545,2927.245614035087719298245614,COMX,30/04/2025,Future,0
CAD_Future_27/05/2025_XYZ_0,CAD,COPPER GRADE'A' IN $,0,25,-25,0,9377.25,XYZ,27/05/2025,Future,0
CAD_Future_03/06/2025_XYZ_0,CAD,COPPER GRADE'A' IN $,0,30,-30,0,9410,XYZ,3/6/2025,Future,0
CAD_Future_04/06/2025_XYZ_0,CAD,COPPER GRADE'A' IN $,65,75,-10,9394.338461538461538461538462,9352.206666666666666666666667,XYZ,4/6/2025,Future,0
